fuente,external_id,nombre,descripcion,categoria,tipo_plantilla,municipio,territorio,direccion,lat,lng,telefono,email,website,es_lluvia,es_carrito,es_cambiador,es_silla_ruedas,es_mascotas,edad_minima,fecha_inicio,fecha_fin,lugar,precio,imagen_url,tipo_evento
,https://www.kulturklik.euskadi.eus/evento/2014/01/01/museum-cemento-rezola-exposicion-permanente-/webkklik00-detalle/es/,Museum Cemento Rezola (exposición permanente),,evento_cultural,Evento cultural,Donostia / San Sebastián,gipuzkoa,"Avenida Añorga, 36",43.285405,-2.000314,,,https://www.kulturklik.euskadi.eus/evento/2014/01/01/museum-cemento-rezola-exposicion-permanente-/webkklik00-detalle/es/,True,False,False,True,False,4,01/01/2014,31/12/2034,Museum Cemento Rezola,Gratis,/contenidos/evento/2024022910404110/es_def/images/exposicionpermanentemuseumcementorezola.jpg,Exposición
,https://www.kulturklik.euskadi.eus/evento/2014/01/01/topic-centro-internacional-del-titere-de-tolosa-exposicion-permanente-y-visitas-guiadas-/webkklik00-detalle/es/,Topic. Centro Internacional del Títere de Tolosa (exposición permanente y visitas guiadas),,evento_cultural,Evento cultural,Tolosa,gipuzkoa,"Plaza de Euskal Herria, 1",43.1381345068573,-2.0748496055603,,,https://www.kulturklik.euskadi.eus/evento/2014/01/01/topic-centro-internacional-del-titere-de-tolosa-exposicion-permanente-y-visitas-guiadas-/webkklik00-detalle/es/,True,True,False,False,False,2,01/01/2014,31/12/2034,Topic. Centro Internacional del Títere de Tolosa,3 / 4 ?,/contenidos/evento/2024022911000735/es_def/images/visitas1.jpg,Exposición
,https://www.kulturklik.euskadi.eus/evento/2014/01/01/itsasmuseum-exposicion-permanente-/webkklik00-detalle/es/,Itsasmuseum (exposición permanente),,evento_cultural,Evento cultural,Bilbao,bizkaia,"Muelle Ramón de la Sota, 1",43.2662375756903,-2.94631004333496,,,https://www.kulturklik.euskadi.eus/evento/2014/01/01/itsasmuseum-exposicion-permanente-/webkklik00-detalle/es/,True,False,True,True,False,4,01/01/2014,31/12/2034,Itsasmuseum Bilbao - Museo Marítimo Vasco,"3,5 / 7 ?",/contenidos/evento/2024022911101331/es_def/images/itsasmuseumslider.jpg,Exposición
,https://www.kulturklik.euskadi.eus/evento/2014/01/01/laboratorium-bergara-bilduma-/webkklik00-detalle/es/,Laboratorium Bergara (bilduma),,evento_cultural,Evento cultural,Bergara,gipuzkoa,"Juan Irazabal pasealekua, 1.",43.117431,-2.411323,,,https://www.kulturklik.euskadi.eus/evento/2014/01/01/laboratorium-bergara-bilduma-/webkklik00-detalle/es/,True,True,True,False,False,6,01/01/2014,31/12/2034,Museo Laboratorium,"2,10 / 4,15 ?",/contenidos/evento/2024022912031423/es_def/images/gabinete.jpg,Exposición
,https://www.kulturklik.euskadi.eus/evento/2014/01/01/museo-de-alfareria-vasca-exposicion-permanente-/webkklik00-detalle/es/,Museo de Alfarería Vasca (exposicion permanente),,evento_cultural,Evento cultural,Legutio,araba,"Ollerias, 9 (Elosu)",42.990403,-2.675625,,,https://www.kulturklik.euskadi.eus/evento/2014/01/01/museo-de-alfareria-vasca-exposicion-permanente-/webkklik00-detalle/es/,True,True,True,True,False,2,01/01/2014,31/12/2034,Museo de Alfarería Vasca,,/contenidos/evento/2024022912120228/es_def/images/unnamed4.jpg,Exposición
,https://www.kulturklik.euskadi.eus/evento/2014/01/01/euskal-herria-museoa-exposicion-y-visitas-/webkklik00-detalle/es/,Euskal Herria Museoa (exposición y visitas),,evento_cultural,Evento cultural,Gernika-Lumo,bizkaia,"Palacio Alegría. Allendesalazar, 5",43.317233,-2.678958,,,https://www.kulturklik.euskadi.eus/evento/2014/01/01/euskal-herria-museoa-exposicion-y-visitas-/webkklik00-detalle/es/,True,True,True,False,False,4,01/01/2014,31/12/2034,Museo Euskal Herria,"2 / 3,5 ?",/contenidos/evento/2024030111004281/es_def/images/Untitled1.jpg,Exposición
,https://www.kulturklik.euskadi.eus/evento/2014/01/01/arkeologia-museoa-exposicion-permanente-y-visitas-guiadas-/webkklik00-detalle/es/,Arkeologia Museoa (exposición permanente y visitas guiadas),,evento_cultural,Evento cultural,Bilbao,bizkaia,"Calzadas de Mallona 2, Prim s/n",43.2589246466934,-2.92136549949646,,,https://www.kulturklik.euskadi.eus/evento/2014/01/01/arkeologia-museoa-exposicion-permanente-y-visitas-guiadas-/webkklik00-detalle/es/,True,True,True,True,False,4,01/01/2014,31/12/2034,Arkeologi Museoa,"2 / 3,5 ?",/contenidos/evento/2024030111192241/es_def/images/2612113299ERAKUSKETAIRAUNKORRAEXPOSICIONPERMANENTE.jpg,Exposición
,https://www.kulturklik.euskadi.eus/evento/2014/01/01/arrantzaleen-museoa-exposicion-permanente-y-visitas-guiadas-/webkklik00-detalle/es/,Arrantzaleen Museoa (exposición permanente y visitas guiadas),,evento_cultural,Evento cultural,Bermeo,bizkaia,Torre Ercilla,43.4209776595511,-2.7210259437561,,,https://www.kulturklik.euskadi.eus/evento/2014/01/01/arrantzaleen-museoa-exposicion-permanente-y-visitas-guiadas-/webkklik00-detalle/es/,True,False,False,True,False,2,01/01/2014,31/12/2034,Museo del Pescador,"2 / 3,5 ?",/contenidos/evento/2024030111270990/es_def/images/museoelpescador.jpg,Exposición
,https://www.kulturklik.euskadi.eus/evento/2014/01/01/ferreria-de-el-pobal-visitas-guiadas-/webkklik00-detalle/es/,Ferrería de El Pobal (visitas guiadas),,evento_cultural,Evento cultural,Muskiz,bizkaia,Barrio de El Pobal s/n,43.2985414542876,-3.12629699707031,,,https://www.kulturklik.euskadi.eus/evento/2014/01/01/ferreria-de-el-pobal-visitas-guiadas-/webkklik00-detalle/es/,True,True,False,True,False,4,01/01/2014,31/12/2034,Ferrería de El Pobal,Consultar la web de la Ferrería de El Pobal,/contenidos/evento/2024030113100546/es_def/images/elpobal.jpg,Exposición
,https://www.kulturklik.euskadi.eus/evento/2014/01/01/la-encartada-fabrika-museoa-visitas-guiadas-/webkklik00-detalle/es/,La Encartada Fabrika Museoa (visitas guiadas),,evento_cultural,Evento cultural,Balmaseda,bizkaia,"Barrio El Peñueco, 11",43.176515430273,-3.21702003479003,,,https://www.kulturklik.euskadi.eus/evento/2014/01/01/la-encartada-fabrika-museoa-visitas-guiadas-/webkklik00-detalle/es/,True,False,False,True,False,4,01/01/2014,31/12/2034,Fábrica-museo La Encartada,"3,5 / 5,5 ?",/contenidos/evento/2024030410235475/es_def/images/laencartadaziortzabolibar.jpg,Exposición
